"","decision","HI","SI","ID"
"246",0.5,12,94,1021
"247",0.5,26,67,1021
"248",0.5,0,67,1021
"249",0.5,0,77,1021
"250",0.5,1,89,1021
"251",0.5,5,84,1021
"252",0.5,6,91,1021
"253",0.5,20,39,1022
"254",0.5,28,39,1022
"255",0.5,33,43,1022
"256",0.5,36,44,1022
"257",0.5,33,42,1022
"258",0.5,36,47,1022
"259",0,44,62,1022
"260",0,39,63,1022
"261",0,41,63,1022
"262",0,40,59,1022
"263",0,42,57,1022
"264",0,40,58,1022
"265",0.5,41,55,1022
"266",0,44,59,1022
"267",0.5,36,58,1022
"268",0,54,65,1022
"269",0,52,63,1022
"270",0.5,40,56,1022
"271",0.5,7,40,1023
"272",0.5,4,45,1023
"273",0.5,3,52,1023
"274",0.5,0,58,1023
"275",0.5,0,59,1023
"276",0.5,0,64,1023
"277",0,26,100,1023
"278",0,31,100,1023
"279",0,18,100,1023
"280",0,16,100,1023
"281",0,3,100,1023
"282",0,13,100,1023
"283",0,0,85,1023
"284",0.5,4,87,1023
"285",0.5,0,72,1023
"286",0.5,0,100,1023
"287",0,1,100,1023
"288",0,49,100,1023
"289",0.5,0,100,1024
"290",0,0,100,1024
"291",0.5,0,100,1024
"292",0.5,100,100,1024
"293",0,100,100,1024
"294",0,100,100,1024
"295",0.5,0,100,1024
"296",0.5,0,100,1024
"297",0.5,0,99,1024
"298",0.5,0,100,1024
"299",0.5,0,100,1024
"300",0.5,0,100,1024
"301",0,100,100,1024
"302",0,100,100,1024
"303",0,100,100,1024
"304",0,100,100,1024
"305",0,100,100,1024
"306",0,100,100,1024
"307",0,0,45,1026
"308",0,0,0,1026
"309",0.5,0,0,1026
"310",0,65,8,1026
"311",0.5,84,69,1026
"312",0.5,51,26,1026
"313",0.5,17,13,1026
"314",0.5,10,8,1026
"315",0.5,0,0,1026
"316",0.5,12,11,1026
"317",0.5,3,4,1026
"318",0.5,6,5,1026
"319",0,49,90,1026
"320",0,48,94,1026
"321",0,46,100,1026
"322",0,49,100,1026
"323",0,56,100,1026
"324",0,59,100,1026
"325",0.5,51,50,1027
"326",0,49,48,1027
"327",0.5,49,50,1027
"328",0,91,93,1027
"329",0.5,82,84,1027
"330",0,86,87,1027
"331",0.5,50,50,1027
"332",0.5,51,50,1027
"333",0.5,47,48,1027
"334",0.5,50,50,1027
"335",0.5,51,50,1027
"336",0.5,49,50,1027
"337",0,82,82,1027
"338",0,73,81,1027
"339",0,79,82,1027
"340",0,77,79,1027
"341",0,78,81,1027
"342",0,81,81,1027
"343",0.5,9,71,1028
"344",0,28,59,1028
"345",0.5,29,69,1028
"346",0.5,39,65,1028
"347",0,16,77,1028
"348",0,24,79,1028
"349",0.5,36,65,1028
"350",0.5,38,34,1028
"351",0.5,1,18,1028
"352",0.5,5,50,1028
"353",0.5,1,56,1028
"354",0.5,4,70,1028
"355",0,35,75,1028
"356",0,42,86,1028
"357",0,57,81,1028
"358",0,64,92,1028
"359",0,73,93,1028
"360",0,81,98,1028
"361",0.5,51,50,1030
"362",0,48,48,1030
"363",0,48,47,1030
"364",0.5,39,38,1030
"365",0.5,43,41,1030
"366",0,37,36,1030
"367",0.5,50,49,1030
"368",0.5,35,49,1030
"369",0.5,50,50,1030
"370",0.5,49,48,1030
"371",0.5,41,50,1030
"372",0.5,52,49,1030
"373",0,44,42,1030
"374",0,52,86,1030
"375",0,46,77,1030
"376",0,49,100,1030
"377",0,60,100,1030
"378",0,60,100,1030
"379",0,17,17,1031
"380",0,20,15,1031
"381",0,15,18,1031
"382",0,24,25,1031
"383",0,23,26,1031
"384",0,12,14,1031
"385",0,23,20,1031
"386",0.5,24,21,1031
"387",0,24,25,1031
"388",0,20,16,1031
