"","decision","HI","SI","ID"
"245",0,1,100,1021
"246",0,3,100,1021
"247",0,0,76,1021
"248",0.5,0,78,1021
"249",0,0,84,1021
"250",0,0,100,1021
"251",0.5,0,100,1021
"252",0.5,0,100,1021
"253",0.5,36,50,1022
"254",0.5,44,52,1022
"255",0.5,45,54,1022
"256",0.5,45,52,1022
"257",0.5,45,53,1022
"258",0.5,44,52,1022
"259",0,47,58,1022
"260",0,45,59,1022
"261",0,44,61,1022
"262",0,44,63,1022
"263",0,47,60,1022
"264",0,44,59,1022
"265",0,39,51,1022
"266",0,25,52,1022
"267",0.5,45,53,1022
"268",0.5,46,60,1022
"269",0,48,61,1022
"270",0.5,45,61,1022
"271",0,0,62,1023
"272",0.5,4,62,1023
"273",0,0,70,1023
"274",0.5,5,94,1023
"275",0.5,22,100,1023
"276",0,45,100,1023
"277",0.5,0,40,1023
"278",0.5,0,33,1023
"279",0.5,0,24,1023
"280",0.5,0,22,1023
"281",0.5,0,12,1023
"282",0.5,0,4,1023
"283",0,27,100,1023
"284",0,31,100,1023
"285",0,39,100,1023
"286",0,49,100,1023
"287",0,19,100,1023
"288",0,11,100,1023
"289",0,100,100,1024
"290",0,100,100,1024
"291",0,100,100,1024
"292",0,100,100,1024
"293",0,100,100,1024
"294",0,100,100,1024
"295",0.5,19,51,1024
"296",0,15,77,1024
"297",0.5,15,80,1024
"298",0,100,100,1024
"299",0,100,100,1024
"300",0.5,14,74,1024
"301",0.5,14,81,1024
"302",0.5,16,81,1024
"303",0.5,15,82,1024
"304",0.5,17,86,1024
"305",0.5,15,85,1024
"306",0.5,18,79,1024
"307",0.5,26,0,1026
"308",0.5,20,0,1026
"309",0.5,13,0,1026
"310",0.5,12,0,1026
"311",0.5,12,0,1026
"312",0.5,12,0,1026
"313",0,35,61,1026
"314",0,41,76,1026
"315",0,47,93,1026
"316",0,44,100,1026
"317",0,48,100,1026
"318",0,42,100,1026
"319",0,0,0,1026
"320",0,23,76,1026
"321",0.5,0,0,1026
"322",0,47,100,1026
"323",0.5,45,100,1026
"324",0.5,24,100,1026
"325",0,51,50,1027
"326",0,51,48,1027
"327",0.5,51,50,1027
"328",0.5,80,80,1027
"329",0,78,76,1027
"330",0.5,83,81,1027
"331",0.5,51,47,1027
"332",0.5,51,50,1027
"333",0.5,51,50,1027
"334",0.5,51,50,1027
"335",0.5,51,50,1027
"336",0.5,51,50,1027
"337",0,81,84,1027
"338",0,87,86,1027
"339",0,83,84,1027
"340",0,86,87,1027
"341",0,86,84,1027
"342",0,84,84,1027
"343",0,42,41,1028
"344",0,43,58,1028
"345",0,36,69,1028
"346",0,40,92,1028
"347",0,41,94,1028
"348",0,43,89,1028
"349",0.5,40,62,1028
"350",0.5,32,51,1028
"351",0,37,37,1028
"352",0,34,75,1028
"353",0,35,68,1028
"354",0.5,37,72,1028
"355",0.5,39,62,1028
"356",0.5,42,64,1028
"357",0.5,41,69,1028
"358",0.5,41,65,1028
"359",0.5,36,63,1028
"360",0.5,41,64,1028
"361",0,18,70,1030
"362",0,10,81,1030
"363",0,9,81,1030
"364",0,12,83,1030
"365",0,10,85,1030
"366",0,12,87,1030
"367",0.5,29,47,1030
"368",0,46,50,1030
"369",0,48,50,1030
"370",0,30,67,1030
"371",0.5,22,50,1030
"372",0.5,38,50,1030
"373",0.5,51,50,1030
"374",0.5,45,52,1030
"375",0.5,40,50,1030
"376",0.5,49,47,1030
"377",0.5,48,48,1030
"378",0.5,49,47,1030
"379",0.5,100,100,1031
"380",0.5,100,100,1031
"381",0.5,100,100,1031
"382",0.5,100,100,1031
"383",0.5,100,100,1031
"384",0.5,100,100,1031
"385",0,0,0,1031
"386",0,0,0,1031
"387",0,1,0,1031
"388",0,1,0,1031
"389",0,0,0,1031
"390",0,0,0,1031
"391",0,1,1,1031
"392",0,1,0,1031
"393",0,1,0,1031
"394",0.5,1,0,1031
"395",0.5,0,0,1031
"396",0.5,0,0,1031
"397",0.5,40,33,1032
"398",0.5,60,42,1032
"399",0.5,55,43,1032
"400",0.5,54,40,1032
"401",0.5,57,39,1032
"402",0.5,57,40,1032
"403",0,78,24,1032
"404",0,53,58,1032
"405",0,59,59,1032
"406",0,57,58,1032
"407",0,57,58,1032
"408",0,59,63,1032
"409",0,57,57,1032
"410",0.5,46,58,1032
"411",0.5,43,43,1032
"412",0,58,56,1032
"413",0.5,66,66,1032
"414",0,61,62,1032
"415",0.5,5,6,1033
"416",0,4,3,1033
"417",0,8,6,1033
"418",0,40,68,1033
"419",0.5,41,69,1033
"420",0.5,41,68,1033
"421",0.5,6,6,1033
"422",0.5,5,6,1033
"423",0.5,6,7,1033
"424",0.5,6,7,1033
"425",0.5,5,8,1033
"426",0.5,7,6,1033
"427",0,61,66,1033
"428",0,63,68,1033
"429",0,64,62,1033
"430",0,62,61,1033
"431",0,63,61,1033
"432",0,64,63,1033
"433",0,0,100,1034
"434",0,0,100,1034
"435",0,0,100,1034
"436",0,0,100,1034
"437",0,0,100,1034
"438",0,0,100,1034
"439",0,0,0,1034
"440",0,0,0,1034
"441",0.5,0,0,1034
"442",0.5,0,100,1034
"443",0,0,100,1034
"444",0.5,0,100,1034
"445",0.5,0,0,1034
"446",0.5,0,0,1034
"447",0.5,0,0,1034
"448",0.5,0,0,1034
"449",0.5,0,0,1034
"450",0.5,0,0,1034
"451",0.5,21,22,1035
"452",0,10,21,1035
"453",0,8,30,1035
"454",0,29,71,1035
"455",0.5,21,88,1035
"456",0.5,19,75,1035
"457",0.5,25,30,1035
"458",0.5,19,15,1035
"459",0.5,3,19,1035
"460",0.5,0,11,1035
"461",0.5,0,0,1035
"462",0.5,0,0,1035
"463",0,28,74,1035
"464",0,29,78,1035
"465",0,30,77,1035
"466",0,40,80,1035
"467",0,46,94,1035
"468",0,39,93,1035
"469",0.5,32,67,1038
"470",0.5,35,62,1038
"471",0.5,34,72,1038
"472",0.5,35,75,1038
"473",0.5,28,75,1038
"474",0.5,21,77,1038
"475",0,71,72,1038
"476",0,77,76,1038
"477",0,79,79,1038
"478",0,82,82,1038
"479",0,84,85,1038
"480",0,86,86,1038
"481",0.5,27,74,1038
"482",0,23,80,1038
"483",0.5,24,88,1038
"484",0,31,86,1038
"485",0,25,84,1038
"486",0.5,25,78,1038
"487",0.5,0,62,2029
"488",0.5,0,63,2029
"489",0.5,0,70,2029
"490",0.5,0,66,2029
"491",0.5,0,59,2029
"492",0.5,0,58,2029
"493",0,25,92,2029
"494",0,16,100,2029
"495",0,26,100,2029
"496",0,5,100,2029
"497",0,6,100,2029
"498",0,6,100,2029
"499",0.5,0,80,2029
"500",0,0,69,2029
"501",0.5,0,77,2029
"502",0.5,8,100,2029
"503",0,10,100,2029
"504",0,3,100,2029
