"","decision","HI","SI","ID"
"245",0.5,0,25,1021
"246",0.5,1,28,1021
"247",0,8,94,1021
"248",0,1,96,1021
"249",0,3,95,1021
"250",0,5,94,1021
"251",0,3,95,1021
"252",0,0,97,1021
"253",0.5,72,61,1022
"254",0,59,58,1022
"255",0.5,75,59,1022
"256",0,84,69,1022
"257",0,70,60,1022
"258",0.5,68,60,1022
"259",0.5,51,50,1022
"260",0.5,51,50,1022
"261",0.5,45,55,1022
"262",0.5,48,52,1022
"263",0.5,48,52,1022
"264",0.5,45,51,1022
"265",0,61,62,1022
"266",0,54,54,1022
"267",0,52,52,1022
"268",0,54,52,1022
"269",0,54,53,1022
"270",0,58,57,1022
"271",0,1,100,1023
"272",0,3,98,1023
"273",0,2,100,1023
"274",0,3,98,1023
"275",0,2,97,1023
"276",0,2,97,1023
"277",0.5,10,79,1023
"278",0.5,0,58,1023
"279",0,0,73,1023
"280",0.5,9,79,1023
"281",0,6,95,1023
"282",0,7,71,1023
"283",0.5,0,38,1023
"284",0.5,0,56,1023
"285",0.5,0,72,1023
"286",0.5,19,68,1023
"287",0.5,0,64,1023
"288",0.5,0,63,1023
"289",0,0,79,1024
"290",0,0,74,1024
"291",0,0,75,1024
"292",0.5,100,100,1024
"293",0.5,100,100,1024
"294",0.5,100,100,1024
"295",0.5,0,74,1024
"296",0.5,0,80,1024
"297",0.5,0,78,1024
"298",0.5,0,82,1024
"299",0.5,0,80,1024
"300",0.5,0,81,1024
"301",0,100,100,1024
"302",0,100,100,1024
"303",0,100,100,1024
"304",0,100,100,1024
"305",0,100,100,1024
"306",0,100,100,1024
"307",0.5,0,0,1026
"308",0.5,0,0,1026
"309",0.5,0,0,1026
"310",0.5,0,0,1026
"311",0.5,0,0,1026
"312",0.5,0,0,1026
"313",0,76,74,1026
"314",0,50,88,1026
"315",0,60,100,1026
"316",0,64,100,1026
"317",0,61,100,1026
"318",0,64,100,1026
"319",0,19,79,1026
"320",0,3,66,1026
"321",0.5,7,82,1026
"322",0.5,69,87,1026
"323",0.5,70,80,1026
"324",0,39,89,1026
"325",0.5,24,48,1027
"326",0.5,27,76,1027
"327",0.5,23,71,1027
"328",0.5,18,71,1027
"329",0.5,0,99,1027
"330",0.5,22,70,1027
"331",0,17,92,1027
"332",0,18,89,1027
"333",0,16,85,1027
"334",0,15,89,1027
"335",0,5,95,1027
"336",0,7,95,1027
"337",0,51,50,1027
"338",0,51,50,1027
"339",0.5,15,88,1027
"340",0.5,12,87,1027
"341",0,24,87,1027
"342",0.5,11,90,1027
"343",0,37,55,1028
"344",0.5,30,62,1028
"345",0.5,36,54,1028
"346",0,48,73,1028
"347",0.5,44,68,1028
"348",0,13,90,1028
"349",0.5,45,51,1028
"350",0.5,45,40,1028
"351",0.5,28,21,1028
"352",0.5,16,6,1028
"353",0.5,17,6,1028
"354",0.5,6,4,1028
"355",0,43,58,1028
"356",0,56,70,1028
"357",0,71,96,1028
"358",0,75,100,1028
"359",0,68,100,1028
"360",0,70,100,1028
"361",0.5,45,37,1030
"362",0.5,45,45,1030
"363",0.5,49,47,1030
"364",0.5,34,46,1030
"365",0.5,18,44,1030
"366",0.5,0,43,1030
"367",0,19,51,1030
"368",0,41,50,1030
"369",0,48,50,1030
"370",0,32,52,1030
"371",0,44,51,1030
"372",0,51,50,1030
"373",0.5,39,33,1030
"374",0,26,33,1030
"375",0,40,43,1030
"376",0,24,53,1030
"377",0.5,31,53,1030
"378",0.5,42,56,1030
"379",0,34,31,1031
"380",0,41,38,1031
"381",0,38,34,1031
"382",0,33,33,1031
"383",0,40,37,1031
"384",0,35,35,1031
"385",0.5,34,32,1031
"386",0.5,36,33,1031
"387",0,42,40,1031
"388",0.5,43,41,1031
"389",0,40,40,1031
"390",0,37,33,1031
"391",0.5,40,41,1031
"392",0.5,41,39,1031
"393",0.5,41,40,1031
"394",0.5,39,38,1031
"395",0.5,39,39,1031
"396",0.5,38,38,1031
"397",0,46,43,1032
"398",0,45,67,1032
"399",0,60,64,1032
"400",0,69,67,1032
"401",0,66,73,1032
"402",0,63,66,1032
"403",0.5,43,44,1032
"404",0,49,60,1032
"405",0,47,58,1032
"406",0.5,59,70,1032
"407",0,43,64,1032
"408",0.5,42,68,1032
"409",0.5,42,38,1032
"410",0.5,41,41,1032
"411",0.5,43,41,1032
"412",0.5,44,38,1032
"413",0.5,41,39,1032
"414",0.5,43,35,1032
"415",0,19,89,1033
"416",0,17,87,1033
"417",0,19,87,1033
"418",0,12,85,1033
"419",0,15,86,1033
"420",0,13,87,1033
"421",0,8,8,1033
"422",0.5,9,7,1033
"423",0,8,5,1033
"424",0,11,88,1033
"425",0.5,12,85,1033
"426",0.5,11,87,1033
"427",0.5,11,13,1033
"428",0.5,14,11,1033
"429",0.5,9,8,1033
"430",0.5,9,8,1033
"431",0.5,6,7,1033
"432",0.5,5,8,1033
"433",0.5,0,84,1034
"434",0.5,0,86,1034
"435",0.5,0,86,1034
"436",0.5,0,85,1034
"437",0.5,0,88,1034
"438",0.5,0,88,1034
"439",0,0,100,1034
"440",0,0,100,1034
"441",0,0,100,1034
"442",0,0,100,1034
