"","decision","HI","SI","ID","iter"
"186",0.5,6,6,1018,1
"187",0,94,94,1018,1
"188",0,94,94,1018,1
"189",0,94,94,1018,1
"190",0,94,94,1018,1
"191",0,94,94,1018,1
"192",0,94,94,1018,1
"193",0.5,6,6,1018,1
"194",0.5,6,6,1018,1
"195",0.5,6,6,1018,1
"196",0,94,94,1018,1
"197",0,94,94,1018,1
"198",0,94,94,1018,1
"199",0.5,39,61,1019,1
"200",0.5,39,39,1019,1
"201",0.5,72,61,1019,1
"202",0.5,61,50,1019,1
"203",0.5,28,28,1019,1
"204",0.5,50,50,1019,1
"205",0,50,50,1019,1
"206",0,61,72,1019,1
"207",0,72,72,1019,1
"208",0,61,72,1019,1
"209",0,61,83,1019,1
"210",0,61,61,1019,1
"211",0,61,50,1019,1
"212",0.5,61,61,1019,1
"213",0,39,72,1019,1
"214",0,72,83,1019,1
"215",0.5,61,72,1019,1
"216",0.5,72,83,1019,1
"217",0.5,28,50,1020,1
"218",0.5,28,50,1020,1
"219",0.5,28,50,1020,1
"220",0.5,39,50,1020,1
"221",0.5,17,72,1020,1
"222",0.5,17,72,1020,1
"223",0,50,61,1020,1
"224",0,61,72,1020,1
"225",0,61,61,1020,1
"226",0,39,72,1020,1
"227",0,50,72,1020,1
"228",0,61,72,1020,1
"229",0,39,50,1020,1
"230",0.5,28,61,1020,1
"231",0.5,28,61,1020,1
"232",0,28,61,1020,1
"233",0,50,72,1020,1
"234",0.5,50,61,1020,1
"235",0.5,6,72,1021,1
"236",0.5,6,72,1021,1
"237",0.5,6,83,1021,1
"238",0.5,6,83,1021,1
"239",0.5,6,72,1021,1
"240",0.5,6,83,1021,1
"241",0,6,72,1021,1
"242",0,17,39,1021,1
"243",0,6,94,1021,1
"244",0,6,94,1021,1
"245",0,6,94,1021,1
"246",0,6,94,1021,1
"247",0,6,83,1021,1
"248",0.5,6,83,1021,1
"249",0,6,94,1021,1
"250",0,6,94,1021,1
"251",0.5,6,94,1021,1
"252",0.5,6,94,1021,1
"253",0.5,39,50,1022,1
"254",0.5,50,50,1022,1
"255",0.5,50,50,1022,1
"256",0.5,50,50,1022,1
"257",0.5,50,50,1022,1
"258",0.5,39,61,1022,1
"259",0,50,50,1022,1
"260",0,50,61,1022,1
"261",0,50,61,1022,1
"262",0,50,61,1022,1
"263",0,50,61,1022,1
"264",0,50,61,1022,1
"265",0,50,61,1022,1
"266",0,39,61,1022,1
"267",0.5,50,61,1022,1
"268",0.5,50,50,1022,1
"269",0,50,61,1022,1
"270",0.5,50,61,1022,1
"271",0,6,83,1023,1
"272",0.5,6,83,1023,1
"273",0,17,72,1023,1
"274",0.5,17,94,1023,1
"275",0.5,6,72,1023,1
"276",0,61,94,1023,1
"277",0.5,6,17,1023,1
"278",0.5,6,17,1023,1
"279",0.5,6,17,1023,1
"280",0.5,17,28,1023,1
"281",0.5,6,39,1023,1
"282",0.5,17,50,1023,1
"283",0,39,94,1023,1
"284",0,17,94,1023,1
"285",0,6,94,1023,1
"286",0,39,94,1023,1
"287",0,6,94,1023,1
"288",0,61,94,1023,1
"289",0,39,83,1024,1
"290",0,72,83,1024,1
"291",0,94,94,1024,1
"292",0,94,94,1024,1
"293",0,94,94,1024,1
"294",0,94,94,1024,1
"295",0.5,28,83,1024,1
"296",0,50,83,1024,1
"297",0.5,39,94,1024,1
"298",0,94,94,1024,1
"299",0,94,94,1024,1
"300",0.5,94,94,1024,1
"301",0.5,6,83,1024,1
"302",0.5,6,50,1024,1
"303",0.5,17,61,1024,1
"304",0.5,6,39,1024,1
"305",0.5,6,72,1024,1
"306",0.5,50,72,1024,1
"307",0.5,28,6,1026,1
"308",0.5,17,6,1026,1
"309",0.5,17,6,1026,1
"310",0.5,17,6,1026,1
"311",0.5,6,17,1026,1
"312",0.5,17,6,1026,1
"313",0,28,17,1026,1
"314",0,17,17,1026,1
"315",0,39,94,1026,1
"316",0,39,94,1026,1
"317",0,50,94,1026,1
"318",0,61,94,1026,1
"319",0,28,28,1026,1
"320",0,17,72,1026,1
"321",0.5,17,72,1026,1
"322",0,28,94,1026,1
"323",0.5,39,83,1026,1
"324",0.5,50,94,1026,1
"325",0,61,61,1027,1
"326",0,72,72,1027,1
"327",0.5,72,72,1027,1
"328",0.5,61,17,1027,1
"329",0,72,72,1027,1
"330",0.5,72,72,1027,1
"331",0.5,50,50,1027,1
"332",0.5,50,50,1027,1
"333",0.5,72,61,1027,1
"334",0.5,72,61,1027,1
"335",0.5,39,50,1027,1
"336",0.5,39,50,1027,1
"337",0,61,61,1027,1
"338",0,83,72,1027,1
"339",0,83,83,1027,1
"340",0,83,83,1027,1
"341",0,83,83,1027,1
"342",0,83,94,1027,1
"343",0,39,83,1028,1
"344",0,39,72,1028,1
"345",0,39,61,1028,1
"346",0,39,72,1028,1
"347",0,39,83,1028,1
"348",0,39,83,1028,1
"349",0.5,39,61,1028,1
"350",0.5,39,50,1028,1
"351",0,39,39,1028,1
"352",0,39,61,1028,1
"353",0,39,83,1028,1
"354",0.5,39,83,1028,1
"355",0.5,39,61,1028,1
"356",0.5,39,50,1028,1
"357",0.5,39,39,1028,1
"358",0.5,39,50,1028,1
"359",0.5,39,39,1028,1
"360",0.5,39,50,1028,1
"361",0,17,28,1030,1
"362",0,28,50,1030,1
"363",0,28,83,1030,1
"364",0,28,61,1030,1
"365",0,28,83,1030,1
"366",0,61,72,1030,1
"367",0.5,72,50,1030,1
"368",0,50,61,1030,1
"369",0,28,61,1030,1
"370",0,39,83,1030,1
"371",0.5,39,61,1030,1
"372",0.5,28,72,1030,1
"373",0.5,17,61,1030,1
"374",0.5,17,61,1030,1
"375",0.5,28,50,1030,1
"376",0.5,28,39,1030,1
"377",0.5,39,39,1030,1
"378",0.5,50,39,1030,1
"379",0.5,6,6,1031,1
"380",0.5,6,6,1031,1
"381",0.5,6,6,1031,1
"382",0.5,6,6,1031,1
"383",0.5,6,6,1031,1
"384",0.5,6,6,1031,1
"385",0,6,6,1031,1
"386",0,6,6,1031,1
"387",0,6,6,1031,1
"388",0,6,6,1031,1
"389",0,6,6,1031,1
"390",0,6,6,1031,1
"391",0,6,6,1031,1
"392",0,6,6,1031,1
"393",0,6,6,1031,1
"394",0.5,6,6,1031,1
"395",0.5,6,6,1031,1
"396",0.5,6,6,1031,1
"397",0.5,50,39,1032,1
"398",0.5,61,39,1032,1
"399",0.5,61,39,1032,1
"400",0.5,39,39,1032,1
"401",0.5,50,39,1032,1
"402",0.5,50,39,1032,1
"403",0,72,39,1032,1
"404",0,61,50,1032,1
"405",0,50,61,1032,1
"406",0,50,61,1032,1
"407",0,50,72,1032,1
"408",0,72,61,1032,1
"409",0,72,72,1032,1
"410",0.5,50,50,1032,1
"411",0.5,61,50,1032,1
"412",0,50,72,1032,1
"413",0.5,50,61,1032,1
"414",0,61,50,1032,1
"415",0.5,6,17,1033,1
"416",0,6,17,1033,1
"417",0,6,72,1033,1
"418",0,39,94,1033,1
"419",0.5,28,39,1033,1
"420",0.5,50,50,1033,1
"421",0.5,6,6,1033,1
"422",0.5,6,6,1033,1
"423",0.5,6,6,1033,1
"424",0.5,6,6,1033,1
"425",0.5,6,6,1033,1
"426",0.5,6,6,1033,1
"427",0,6,6,1033,1
"428",0,39,50,1033,1
"429",0,39,39,1033,1
"430",0,72,50,1033,1
"431",0,61,72,1033,1
"432",0,61,72,1033,1
"433",0,6,39,1034,1
"434",0,6,61,1034,1
"435",0,6,94,1034,1
"436",0,6,94,1034,1
"437",0,6,94,1034,1
"438",0,6,94,1034,1
"439",0,17,61,1034,1
"440",0,17,94,1034,1
"441",0.5,6,94,1034,1
"442",0.5,6,94,1034,1
"443",0,6,94,1034,1
"444",0.5,17,94,1034,1
"445",0.5,6,17,1034,1
"446",0.5,17,17,1034,1
"447",0.5,6,17,1034,1
"448",0.5,6,6,1034,1
"449",0.5,6,6,1034,1
"450",0.5,6,17,1034,1
"451",0.5,6,28,1035,1
"452",0,6,28,1035,1
"453",0,28,61,1035,1
"454",0,28,83,1035,1
"455",0.5,17,72,1035,1
"456",0.5,17,61,1035,1
"457",0.5,17,28,1035,1
"458",0.5,17,17,1035,1
"459",0.5,17,28,1035,1
"460",0.5,28,17,1035,1
"461",0.5,17,17,1035,1
"462",0.5,17,6,1035,1
"463",0,28,39,1035,1
"464",0,39,39,1035,1
"465",0,39,72,1035,1
"466",0,28,83,1035,1
"467",0,28,83,1035,1
"468",0,50,94,1035,1
"469",0.5,28,83,1038,1
"470",0.5,39,72,1038,1
"471",0.5,39,61,1038,1
"472",0.5,28,83,1038,1
"473",0.5,28,72,1038,1
"474",0.5,28,72,1038,1
"475",0,83,61,1038,1
"476",0,39,83,1038,1
"477",0,61,83,1038,1
"478",0,50,83,1038,1
"479",0,83,61,1038,1
"480",0,72,83,1038,1
"481",0.5,39,83,1038,1
"482",0,61,83,1038,1
